Time,Temperature,,12/28/2021 17:00,150,,,,,,
12/28/2021 9:00,50,,,,,,,,,
12/28/2021 13:00,70,,,,,,,,,
12/28/2021 13:10,75,,,,,,,,,
12/28/2021 13:20,80,,,,,,,,,
12/28/2021 13:30,85,,,,,,,,,
12/28/2021 13:40,90,,,,,,,,,
12/28/2021 13:50,95,,,,,,,,,
12/28/2021 14:00,100,,,,,,,,,
12/28/2021 14:10,105,,,,,,,,,
12/28/2021 17:15,158,,,,,,,,,
12/28/2021 17:18,159,,,,,,,,,
12/28/2021 17:20,160,,,,,,,,,
12/28/2021 17:32,161,,,,,,,,,
12/28/2021 17:36,162,,,,,,,,,
12/28/2021 17:50,163,,,,,,,,,
12/28/2021 17:58,164,,,,,,,,,
12/28/2021 18:03,165,,,,,,,,,
12/28/2021 18:09,166,,,,,,,,,
12/28/2021 18:13,167,,,,,,,,,
12/28/2021 18:16,168,,,,,,,,,
12/28/2021 18:19,169,,,,,,,,,
12/28/2021 18:22,170,,,,,,,,,
12/28/2021 18:26,171,,,,,,,,,
12/28/2021 18:28,172,,,,,,,,,
12/28/2021 18:30,173,,,,,,,,,
12/28/2021 18:33,174,,,,,,,,,
12/28/2021 18:35,175,,,,,,,,,
12/28/2021 18:37,176,,,,,,,,,
12/28/2021 18:40,177,,,,,,,,,
12/28/2021 18:41,178,,,,,,,,,
12/28/2021 18:43,179,,,,,,,,,
12/28/2021 18:45,180,,,,,,,,,
12/28/2021 18:47,181,,,,,,,,,
12/28/2021 18:49,182,,,,,,,,,
12/28/2021 18:51,183,,,,,,,,,
12/28/2021 18:53,184,,,,,,,,,
12/28/2021 18:55,185,,,,,,,,,
12/28/2021 18:57,186,,,,,,,,,
12/28/2021 18:59,187,,,,,,,,,
12/28/2021 19:01,188,,,,,,,,,
12/28/2021 19:03,189,,,,,,,,,
12/28/2021 19:05,190,,,,,,,,,
12/28/2021 19:07,191,,,,,,,,,
12/28/2021 19:08,192,,,,,,,,,
12/28/2021 19:10,193,,,,,,,,,
12/28/2021 19:12,194,,,,,,,,,
12/28/2021 19:14,195,,,,,,,,,
